6.452639155470249079e+02 2.582236084452972591e+02
6.996516314779270260e+02 4.213867562380037270e+02
8.998973128598848916e+02 4.016094049904028793e+02
1.126100767754318440e+03 4.485806142034547292e+02
1.379498080614203445e+03 4.708301343570055906e+02
1.435121880998080542e+03 4.597053742802302168e+02
1.498162188099808191e+03 5.400508637236082450e+02
1.561202495201535385e+03 5.697168905950094313e+02
1.572327255278310986e+03 6.463541266794624107e+02
1.559966410748560520e+03 7.155748560460650651e+02
1.498162188099808191e+03 7.724347408829172537e+02
1.409164107485604745e+03 8.663771593090209535e+02
1.322638195777351029e+03 8.515441458733203035e+02
1.118684261036468342e+03 8.206420345489441388e+02
9.468685220729365710e+02 8.503080614203452114e+02
8.479817658349328440e+02 8.490719769673703468e+02
8.714673704414586837e+02 9.220009596928981637e+02
8.183157389635315440e+02 9.776247600767752601e+02
5.130028790786947184e+02 7.724347408829172537e+02
5.834596928982724648e+02 6.957975047984642742e+02
5.500854126679462297e+02 5.338704414587330120e+02
5.043502879078693582e+02 3.064309021113242579e+02
